"step";"bible_ref";"bible_ref_positive_negative";"bible_ref_origin";"bible_ref_author";"bible_ref_type";"category";"title_nl";"title_ot_nl";"title_ot_en";"title_ot_code";"title_en";"title_negative_en";"devotional_en";"devotional_nl";"devotional_source";"questions";"quote";"quote_source"
8;"Ps 145:1-21";"positive";;"David";"study";"Witnessing Commands";;;;;;;;;;;;
9;"Mat 5:3";"positive";;"Jesus";"primary";"Discipleship Commands";"Zalig zijn de armen van geest, want van hen is het Koninkrijk der hemelen";;;;"Blessed are the poor in spirit, for theirs is the kingdom of heaven";"Don’t rely on your own strenght";;;;;"Your successful past will block your visions of the future";"Joel A. Barker"
9;"Joh 15:5";"positive";;"Jesus";"indirect";"Discipleship Commands";;;;;;;;;;;;
9;"Ps 34:19";"positive";;"David";"direct";"Discipleship Commands";;;;;;;;;;;;
9;"2 Kor 12:9-10";"positive";;"Paul";"indirect";"Discipleship Commands";;;;;;;;;;;;
9;"1 Kor 2:4-5";"positive";;"Paul";"direct";"Discipleship Commands";;;;;;;;;;;;
9;"Jes 30:18";"positive";;"Isaiah";"indirect";"Discipleship Commands";;;;;;;;;;;;
9;"Jes 57:15";"positive";;"HEERE";"direct";"Discipleship Commands";;;;;;;;;;;;
9;"Jes 66:1-2";"positive";;"HEERE";"direct";"Discipleship Commands";;;;;;;;;;;;
9;"Luk 6:20";"positive";;"Jesus";"duplicate";"Discipleship Commands";;;;;;;;;;;;
9;"Ex 33:15";"positive";;"Moses";"example";"Discipleship Commands";;;;;;;;;;;;
9;"2 Sam 22:33-37";"positive";;"David";"example";"Discipleship Commands";;;;;;;;;;;;
9;"Han 6:8-10";"positive";;"Stephen";"example";"Discipleship Commands";;;;;;;;;;;;
9;"Ps 119:173";"positive";;"David";"indirect";"Discipleship Commands";;;;;;;;;;;;
9;"Ps 124:8";"positive";;"David";"example";"Discipleship Commands";;;;;;;;;;;;
10;"Mat 5:4";"positive";;"Jesus";"primary";"Blessings";"Zalig zijn zij die treuren, want zij zullen vertroost worden";;;;"Blessed are they that mourn: for they shall be comforted";;;;;;;
10;"Jes 61:1-3";"positive";;"Isaiah";"direct";"Blessings";;;;;;;;;;;;
10;"Jes 66:10";"positive";;"HEERE";"indirect";"Blessings";;;;;;;;;;;;
10;"Jes 66:13";"positive";;"HEERE";"indirect";"Blessings";;;;;;;;;;;;
10;"Luk 6:22";"positive";;"Jesus";"indirect";"Blessings";;;;;;;;;;;;
10;"Jak 4:8-10";"positive";;"James";"direct";"Blessings";;;;;;;;;;;;
10;"Jona 3:4-8";"positive";;"People in Nineveh";"example";"Blessings";;;;;;;;;;;;
10;"2 Kon 20:1-6";"positive";;"Hezekiah";"study";"Blessings";;;;;;;;;;;;
10;"Luk 6:21";"positive";;"Jesus";"duplicate";"Blessings";;;;;;;;;;;;
10;"2 Kon 22:19-20";"positive";;"HEERE";"example";"Blessings";;;;;;;;;;;;
10;"Spr 25:20";"positive";;"Solomon";"direct";"Blessings";;;;;;;;;;;;
10;"Ps 94:19";"positive";;"Unknown";"indirect";"Blessings";;;;;;;;;;;;
10;"Ps 119:49-56";"positive";;"Unknown";"indirect";"Blessings";;;;;;;;;;;;
11;"Mat 5:5";"positive";;"Jesus";"primary";"Blessings";"Zalig zijn de zachtmoedigen, want zij zullen de aarde beërven";;;;"Blessed are the meek: for they shall inherit the earth";;;;;;;
11;"Ps 37:9-11";"both";;"David";"direct";"Blessings";;;;;;;;;;;;
11;"Mat 11:29";"positive";;"Jesus";"example";"Blessings";;;;;;;;;;;;
11;"Jer 6:16";"both";;"HEERE";"indirect";"Blessings";;;;;;;;;;;;
11;"Jak 1:21";"positive";;"James";"direct";"Blessings";;;;;;;;;;;;
11;"Gal 6:1";"positive";;"Paul";"direct";"Blessings";;;;;;;;;;;;
11;"Ps 10:17-18";"positive";;"David";"direct";"Blessings";;;;;;;;;;;;
11;"Ps 22:27";"positive";;"David";"direct";"Blessings";;;;;;;;;;;;
11;"Ps 25:9";"positive";;"David";"direct";"Blessings";;;;;;;;;;;;
11;"Ps 69:33";"positive";;"David";"direct";"Blessings";;;;;;;;;;;;
11;"Zef 2:3";"both";;"Zephaniah";"indirect";"Blessings";;;;;;;;;;;;
11;"Ps 34:3";"positive";;"David";"indirect";"Blessings";;;;;;;;;;;;
12;"Mat 5:6";"positive";;"Jesus";"primary";"Blessings";"Zalig zijn zij die hongeren en dorsten naar de gerechtigheid, want zij zullen verzadigd worden";;;;"Blessed are they which do hunger and thirst after righteousness: for they shall be filled";;;;;;;
12;"Mat 6:33";"positive";;"Jesus";"direct";"Blessings";;;;;;;;;;;;
12;"Mat 4:4";"positive";;"Jesus";"indirect";"Blessings";;;;;;;;;;;;
12;"Joh 4:13-14";"positive";;"Jesus";"example";"Blessings";;;;;;;;;;;;
12;"Kol 3:1";"positive";;"Paul";"indirect";"Blessings";;;;;;;;;;;;
12;"Rom 3:25";"positive";;"Paul";"direct";"Blessings";;;;;;;;;;;;
12;"2 Tim 2:22";"both";;"Paul";"indirect";"Blessings";;;;;;;;;;;;
12;"Jes 55:1-2";"both";;"Isaiah";"direct";"Blessings";;;;;;;;;;;;
12;"Jes 25:6";"positive";;"Isaiah";"indirect";"Blessings";;;;;;;;;;;;
12;"Jes 53:11";"positive";;"Isaiah";"direct";"Blessings";;;;;;;;;;;;
12;"Joh 6:27";"both";;"Jesus";"direct";"Blessings";;;;;;;;;;;;
12;"Joh 6:35";"positive";;"Jesus";"indirect";"Blessings";;;;;;;;;;;;
12;"Joh 6:51";"positive";;"Jesus";"indirect";"Blessings";;;;;;;;;;;;
12;"Ps 17:15";"positive";;"David";"example";"Blessings";;;;;;;;;;;;
12;"Ps 1:1-2";"both";;"David";"indirect";"Blessings";;;;;;;;;;;;
12;"Deut 8:3";"positive";"Torah";"Moses";"example";"Blessings";;;;;;;;;;;;
12;"Luk 6:21";"positive";;"Jesus";"duplicate";"Blessings";;;;;;;;;;;;
12;"Jes 55:1";"positive";;"Isaiah";"indirect";"Blessings";;;;;;;;;;;;
12;"Ps 90:14";"positive";;"Moses";"direct";"Blessings";;;;;;;;;;;;
12;"Luk 1:53";"both";;"Mary";"direct";"Blessings";;;;;;;;;;;;
12;"Ps 34:11";"both";;"David";"indirect";"Blessings";;;;;;;;;;;;
12;"2 Kor 5:21";"positive";;"Paul";"direct";"Blessings";;;;;;;;;;;;
12;"Han 10:34-35";"positive";;"Peter";"example";"Blessings";;;;;;;;;;;;
12;"Rom 4:7-8";"positive";;"Paul";"indirect";"Blessings";;;;;;;;;;;;
12;"Ps 32:1-2";"positive";;"David";"indirect";"Blessings";;;;;;;;;;;;
12;"Ps 63:2";"positive";;"David";"example";"Blessings";;;;;;;;;;;;
12;"Ps 107:8-9";"positive";;"Unknown";"indirect";"Blessings";;;;;;;;;;;;
13;"Mat 5:7";"positive";;"Jesus";"primary";"Blessings";"Zalig zijn de barmhartigen, want aan hen zal barmhartigheid bewezen worden";;;;"Blessed are the merciful: for they shall obtain mercy";;;;;"During the day, do you pay attention for people around you who need help?";"Start by doing what is necessary; then do what’s possible; and suddenly you are doing the impossible";"Francis of Assisi"
13;"Mat 6:2-4";"both";;"Jesus";"indirect";"Blessings";;;;;;;;;;"When was the last time you were merciful?";;
13;"Deut 4:31";"positive";"Torah";"Moses";"direct";"Blessings";;;;;;;;;;;;
13;"Ef 4:31-32";"both";;"Paul";"indirect";"Blessings";;;;;;;;;;;;
13;"2 Kro 30:9";"positive";;"Hezekiah";"indirect";"Blessings";;;;;;;;;;;;
13;"Ps 103:8";"positive";;"David";"example";"Blessings";;;;;;;;;;;;
13;"Dan 9:9";"positive";;"Daniel";"indirect";"Blessings";;;;;;;;;;;;
13;"Luk 6:36";"positive";;"Jesus";"direct";"Blessings";;;;;;;;;;;;
13;"Jak 2:13";"negative";;"James";"indirect";"Blessings";;;;;;;;;;;;
13;"Ps 41:2-4";"positive";;"David";"direct";"Blessings";;;;;;;;;;;;
13;"Mat 12:7";"positive";;"Jesus";"duplicate";"Blessings";;;;;;;;;;;;
13;"Mat 9:13";"positive";;"Jesus";"indirect";"Blessings";;;;;;;;;;;;
13;"Hos 6:6";"both";;"HEERE";"example";"Blessings";;;;;;;;;;;;
13;"Mat 23:23";"both";;"Jesus";"indirect";"Blessings";;;;;;;;;;;;
13;"Ps 119:77";"positive";;"Unknown";"indirect";"Blessings";;;;;;;;;;;;
13;"Luk 10:29-37";"both";;"Jesus";"study";"Blessings";;;;;;;;;;;;
14;"Mat 5:8";"positive";;"Jesus";"primary";"Blessings";"Zalig zijn de reinen van hart, want zij zullen God zien";"Verwijder alle gist (chamets) op de vooravond van Pesach uit je huis ";;"CCA22";"Blessed are the pure in heart: for they shall see God";"Go, and sin no more";"<p><b>Everyone wants to be happy. But not everyone is willing to do what it takes to have a pure heart.</b></p>
<p>Blessed people are happy people. Those who are pure in heart are happy because they don’t let any evil into their hearts that would make them unhappy.</p>

<p>Instead of having a heart that is full of impurity, unthankfulness, unbelief and evil suspicions about others, these people have pure, good, and wholesome thoughts—thoughts of thankfulness and thoughts about how they can bless others. They also have a firm, uncompromising resistance in their hearts to any thoughts of selfishness, impurity, doubt and anxiety that might try to come in.</p>

<h5>How do I become pure in heart and keep it that way?</h5>
<p>You could talk to a hundred people on the street and not find a single person who doesn’t want to be happy. But not everyone is willing to do what it takes to be pure in heart. Getting a pure heartHaving a pure heart means that you do not agree with any sinful or impure thoughts that come up in you, but rather you deny these thoughts and put them to death. It means that you are not affected or tainted by sin on ... and keeping it doesn’t happen by accident. To get a pure heart I have to put my life in order with God and people and ask for forgiveness when necessary. But purity isn’t meant to stop there.</p>

<p>It is written in Psalm 119:9, “How can a young man keep his way pure? By taking heed according to Your word.” God’s Word is the instruction manual for helping me to keep my heart pure all my life. It is not complicated to begin living a pure life. For a start, think about taking just one simple verse and obeying that, like this verse in 1 Thessalonians 5:18, “In everything give thanks; for this is the will of God in Christ Jesus for you.”</p>

<p>Think how happy I will be in one month if I am thankful in everything! How about one year later? 10 years later? Imagine the end of a long life with a pure heart that is full of thankfulness, where I’ve started out making the right choices while I’m young!</p>

<p>In all of life’s circumstances I have to make choices about how I react to other people, what I do with my free time, and what thoughts I allow to occupy my mind. Obeying God’s Word gives me a direction for my life and helps me make the right choices in all of the situations I meet.</p>";"<p>Als je honderd mensen op straat zou aanspreken, zou je niet één persoon vinden die niet gelukkig wil zijn. Maar niet iedereen is bereid om te doen wat nodig is om een rein hart te krijgen.</p>

<p>Zalige mensen zijn gelukkige mensen. Zij die een rein hart hebben, zijn gelukkig omdat ze geen kwade gedachten in hun hart toelaten die hen ongelukkig kunnen maken.</p>

<p>In plaats van een hart te hebben vol onreinheid, ondankbaarheid, ongeloof of slechte gedachten over een ander, hebben deze mensen reine, goede, gezonde gedachten, en bedenken zij hoe ze tot zegen kunnen zijn voor een ander.  Ze hebben ook een vast, compromisloos verzet in hun hart tegen alle egoïstische, onreine, gedachten en gedachten van twijfel en bezorgdheid die mochten proberen om binnen te komen.</p>

<h5>Hoe krijg (en houd) ik een rein hart?</h5>

<p>Als je honderd mensen op straat zou aanspreken, zou je niet één persoon vinden die niet gelukkig wil zijn. Maar niet iedereen is bereid om te doen wat nodig is om een rein hart te krijgen. Een rein hart krijgen, en houden, gebeurt niet toevallig. Om een rein hart te krijgen moet ik mijn leven in orde hebben met God en de mensen en om vergeving vragen als dat nodig is. Maar het is niet de bedoeling dat de reinheid daar stopt.</p>

<p>Er staat geschreven in Psalm 119:9: “Waarmee zal de jongeling zijn pad rein bewaren? Als hij het houdt naar Uw woord.” Gods woord is de handleiding om mij te helpen mijn hart rein te bewaren, mijn hele leven lang. Het is niet ingewikkeld om te beginnen met een rein leven te leiden. Om te starten kun je heel simpel één vers nemen en daar gehoorzaam aan zijn, zoals dit vers in 1 Thess. 5:18: “Dankt onder alles! Want dat is de wil Gods in Christus Jezus ten opzichte van u”. Bedenk eens hoe gelukkig ik zal zijn als ik een maand lang dankbaar ben voor alles! En een jaar later? Tien jaar later? Denk je eens in hoe het zal zijn aan het einde van een lang leven met een rein hart dat vol is van dankbaarheid als ik begonnen ben om de juiste keuzes te maken als ik jong ben!</p>

<p>In alle situaties in mijn leven moet ik keuzes maken, hoe ik reageer op andere mensen, wat ik doe in mijn vrije tijd, welke gedachten mogen mijn geest in beslag  nemen. Gehoorzamen aan Gods woord geeft mij richting in mijn leven en helpt mij om de juiste keuzes te maken in alle situaties die ik tegenkom.</p>";"Amy Thomas (https://christenzijn.nl/zalig-zijn-de-reinen-van-hart)";"Ask others, what kind of sins do they see with you?";"While you are proclaiming peace with your lips, be careful to have it even more fully in your heart";"Francis of Assisi"
14;"Ps 24:4-5";"both";;"David";"direct";"Blessings";;;;;;;;;;"What sins do you want to get rid off?";;
14;"Ps 51:12";"positive";;"David";"example";"Blessings";;;;;;;;;;"Pray for each other";;
14;"1 Tim 1:5";"positive";;"Paul";"indirect";"Blessings";;;;;;;;;;;;
14;"2 Tim 2:22";"both";;"Paul";"direct";"Blessings";;;;;;;;;;;;
14;"Heb 10:22";"positive";;"Paul?";"direct";"Blessings";;;;;;;;;;;;
14;"Ps 18:21-27";"both";;"David";"study";"Blessings";;;;;;;;;;;;
14;"Ps 119:9";"positive";;"Undetermined";"direct";"Blessings";;;;;;;;;;;;
14;"Heb 9:13-14";"positive";;"Paul?";"indirect";"Blessings";;;;;;;;;;;;
14;"Heb 10:22";"positive";;"Paul?";"indirect";"Blessings";;;;;;;;;;;;
14;"Heb 12:1-14";"both";;"Paul?";"study";"Blessings";;;;;;;;;;;;
14;"Ps 15:2";"positive";;"David";"indirect";"Blessings";;;;;;;;;;;;
14;"Mat 15:10-11";"both";;"Jesus";"indirect";"Blessings";;;;;;;;;;;;
14;"Mat 15:18-19";"negative";;"Jesus";"example";"Blessings";;;;;;;;;;;;
14;"Mar 7:14-16";"both";;"Jesus";"duplicate";"Blessings";;;;;;;;;;;;
14;"Mar 7:20-23";"negative";;"Jesus";"duplicate";"Blessings";;;;;;;;;;;;
14;"Gen 6:5";"negative";;"HEERE";"example";"Blessings";;;;;;;;;;;;
14;"Jer 17:9-10";"negative";;"HEERE";"direct";"Blessings";;;;;;;;;;;;
14;"1 Pet 1:15-16";"positive";;"Peter";"direct";"Blessings";;;;;;;;;;;;
14;"Lev 19:2";"positive";;"HEERE";"direct";"Blessings";;;;;;;;;;;;
14;"Lev 20:7";"positive";;"HEERE";"indirect";"Blessings";;;;;;;;;;;;
14;"Deut 8:2";"both";;"Moses";"indirect";"Blessings";;;;;;;;;;;;
14;"Mat 23:26";"negative";;"Jesus";"indirect";"Blessings";;;;;;;;;;;;
14;"Joh 5:14";"negative";;"Jesus";"indirect";"Blessings";;;;;;;;;;;;
14;"Joh 8:11";"both";;"Jesus";"indirect";"Blessings";;;;;;;;;;;;
14;"Joh 15:2";"both";;"Jesus";"indirect";"Blessings";;;;;;;;;;;;
14;"1 Joh 1:8-10";"both";;"John";"indirect";"Blessings";;;;;;;;;;;;
14;"Mat 7:3-5";"negative";;"Jesus";"indirect";"Blessings";;;;;;;;;;;;
14;"Luk 6:41-42";"negative";;"Jesus";"duplicate";"Blessings";;;;;;;;;;;;
14;"Jak 5:16";"positive";;"James";"indirect";"Blessings";;;;;;;;;;;;
14;"1 Kon 8:35-36";"positive";;"Solomon";"example";"Blessings";;;;;;;;;;;;
14;"Hab 1:13";"negative";;"Habakkuk";"indirect";"Blessings";;;;;;;;;;;;
14;"2 Kro 32:31";"positive";;"Hezekiah";"example";"Blessings";;;;;;;;;;;;
14;"Ex 12:15";"positive";"mitzvah";"HEERE";"study";"Blessings";;;;;;;;;;;;
14;"1 Kor 5:6-8";"positive";;"Paul";"study";"Blessings";;;;;;;;;;;;
14;"Mat 13:33";"positive";;"Jesus";"study";"Blessings";;;;;;;;;;;;
15;"Mat 5:9";"positive";;"Jesus";"primary";"Blessings";"Zalig zijn de vredestichters, want zij zullen kinderen van God genoemd worden";;;;"Blessed are the peacemakers: for they shall be called the children of God";;;;;;;
15;"Rom 8:14-16";"both";;"Paul";"indirect";"Blessings";;;;;;;;;;;;
15;"Joh 14:27";"both";;"Jesus";"indirect";"Blessings";;;;;;;;;;;;
15;"Fil 4:7";"positive";;"Paul and Timotheus";"direct";"Blessings";;;;;;;;;;;;
15;"Jes 32:17";"positive";;"Isaiah";"direct";"Blessings";;;;;;;;;;;;
15;"Joh 16:33";"positive";;"Jesus";"direct";"Blessings";;;;;;;;;;;;
15;"Ef 2:13";"positive";;"Paul";"indirect";"Blessings";;;;;;;;;;;;
15;"Ps 119:161-168";"positive";;"Unknown";"indirect";"Blessings";;;;;;;;;;;;
15;"Ps 122:6-9";"positive";;"David";"indirect";"Blessings";;;;;;;;;;;;
16;"Mat 5:10";"positive";;"Jesus";"primary";"Blessings";"Zalig zijn zij die vervolgd worden om de gerechtigheid, want van hen is het Koninkrijk der hemelen";;;;"Blessed are they which are persecuted for righteousness' sake: for theirs is the kingdom of heaven.";;;;;;"The greater the struggle, the more glorious the triumph";"Nick Vujicic"
16;"Mat 5:11";"positive";;"Jesus";"direct";"Blessings";;;;;;;;;;;;
16;"Mat 5:12";"positive";;"Jesus";"indirect";"Blessings";;;;;;;;;;;;
16;"1 Pet 3:14";"both";;"Peter";"direct";"Blessings";;;;;;;;;;;;
16;"Rom 8:38-39";"positive";;"Paul";"direct";"Blessings";;;;;;;;;;;;
16;"Jes 51:7-8";"positive";;"HEERE";"direct";"Blessings";;;;;;;;;;;;
16;"Jes 66:5";"both";;"HEERE";"indirect";"Blessings";;;;;;;;;;;;
16;"1 Pet 4:14-16";"both";;"Peter";"indirect";"Blessings";;;;;;;;;;;;
16;"Luk 6:22";"positive";;"Jesus";"duplicate";"Blessings";;;;;;;;;;;;
16;"Luk 21:16-19";"positive";;"Jesus";"indirect";"Blessings";;;;;;;;;;;;
16;"2 Tim 2:11-12";"both";;"Paul";"indirect";"Blessings";;;;;;;;;;;;
16;"2 Kor 4:10";"positive";;"Paul";"indirect";"Blessings";;;;;;;;;;;;
16;"Mat 13:18-21";"both";;"Jesus";"study";"Blessings";;;;;;;;;;;;
16;"Jak 1:12";"positive";;"James";"direct";"Blessings";;;;;;;;;;;;
16;"Job 5:17";"both";;"Job";"indirect";"Blessings";;;;;;;;;;;;
16;"Mat 10:18-22";"both";;"Jesus";"study";"Blessings";;;;;;;;;;;;
16;"Mat 24:13";"positive";;"Jesus";"direct";"Blessings";;;;;;;;;;;;
16;"Mar 8:35";"both";;"Jesus";"direct";"Blessings";;;;;;;;;;;;
16;"Mar 13:9";"positive";;"Jesus";"duplicate";"Blessings";;;;;;;;;;;;
16;"Mar 13:13";"positive";;"Jesus";"duplicate";"Blessings";;;;;;;;;;;;
16;"Luk 12:4";"positive";;"Jesus";"direct";"Blessings";;;;;;;;;;;;
16;"Luk 17:33";"both";;"Jesus";"duplicate";"Blessings";;;;;;;;;;;;
16;"Joh 12:25";"both";;"Jesus";"duplicate";"Blessings";;;;;;;;;;;;
16;"Ps 46:1-12";"both";;"Undetermined";"study";"Blessings";;;;;;;;;;;;
16;"Ps 86:6-7";"positive";;"David";"indirect";"Blessings";;;;;;;;;;;;
16;"1 Kro 21:1";"negative";;"David";"example";"Blessings";;;;;;;;;;;;
16;"2 Kro 20:1-30";"positive";;"Jehoshaphat";"study";"Blessings";;;;;;;;;;;;
16;"Han 20:22-24";"positive";;"Paul";"example";"Blessings";;;;;;;;;;;;
16;"Ps 119:114-115";"positive";;"Unknown";"indirect";"Blessings";;;;;;;;;;;;
16;"Ps 126:1-6";"positive";;"Unknown";"example";"Blessings";;;;;;;;;;;;
17;"Mat 5:12";"positive";;"Jesus";"primary";"Blessings";"Verblijd en verheug u, want uw loon is groot in de hemelen";;;;"Rejoice, and be exceeding glad: for great is your reward in heaven";;;;;;"Joy is a good feeling in the sool, produced by the holy spirit, as he causes us to see the beauty of Christ, in His Word and in His work";"John Piper"
17;"1 Pet 4:13";"positive";;"Peter";"direct";"Judgment Seat Commands";;;;;;;;;;;;
17;"Ps 34:3";"positive";;"David";"direct";"Judgment Seat Commands";;;;;;;;;;;;
17;"Ps 34:13";"positive";;"David";"direct";"Judgment Seat Commands";;;;;;;;;;;;
17;"Ps 5:12-13";"positive";;"David";"indirect";"Judgment Seat Commands";;;;;;;;;;;;
17;"Ps 1:1-3";"positive";;"David";"direct";"Judgment Seat Commands";;;;;;;;;;;;
17;"Ps 119:16";"positive";;"David";"indirect";"Judgment Seat Commands";;;;;;;;;;;;
17;"Luk 1:14";"positive";;"Angel";"direct";"Judgment Seat Commands";;;;;;;;;;;;
17;"Luk 1:46-47";"positive";;"Mary";"indirect";"Judgment Seat Commands";;;;;;;;;;;;
17;"Luk 6:22-23";"positive";;"Jesus";"duplicate";"Judgment Seat Commands";;;;;;;;;;;;
17;"Luk 10:17-20";"both";;"Jesus";"indirect";"Judgment Seat Commands";;;;;;;;;;;;
17;"Joh 3:29";"positive";;"Jesus";"example";"Judgment Seat Commands";;;;;;;;;;;;
17;"Zach 9:9";"positive";;"Zechariah";"direct";"Judgment Seat Commands";;;;;;;;;;;;
17;"Joh 16:21-22";"positive";;"Jesus";"example";"Judgment Seat Commands";;;;;;;;;;;;
17;"Gal 3:1";"negative";;"Paul";"indirect";"Judgment Seat Commands";;;;;;;;;;;;
17;"Rom 12:12";"positive";;"Paul";"indirect";"Judgment Seat Commands";;;;;;;;;;;;
17;"2 Kro 30:25-27";"positive";;"Undetermined";"example";"Judgment Seat Commands";;;;;;;;;;;;
17;"Ps 13:6";"positive";;"David";"example";"Judgment Seat Commands";;;;;;;;;;;;
17;"Han 13:52";"positive";;"Undetermined";"example";"Judgment Seat Commands";;;;;;;;;;;;
17;"Han 20:22-24";"positive";;"Paul";"example";"Judgment Seat Commands";;;;;;;;;;;;
18;"Mar 9:49-50";"positive";;"Jesus";"primary";"Discipleship Commands";"Heb zout in uzelf en leef met elkaar in vrede";;;;"Have salt in yourselves, and have peace one with another";;;;;"Has sin corrupted your saltiness?";"Love is a fruit in season at all times, and within reach of every hand";"Mother Teresa"
18;"Lev 2:13";"positive";;"Moses";"example";"Discipleship Commands";;;;;;;;;;"Has your self-interest made you disinterested in transforming others?";;
18;"Mat 5:13";"positive";;"Jesus";"direct";"Discipleship Commands";;;;;;;;;;"Can you be graciously confrontational?";;
18;"Col 3:15";"positive";;"Paul";"direct";"Discipleship Commands";;;;;;;;;;;;
18;"Col 4:6";"positive";;"Paul";"direct";"Discipleship Commands";;;;;;;;;;;;
18;"2 Kron 13:5";"positive";;"Abijah";"study";"Discipleship Commands";;;;;;;;;;;;
18;"Rom 12:18";"positive";;"Paul";"direct";"Discipleship Commands";;;;;;;;;;;;
18;"Heb 12:14";"positive";;"Paul?";"direct";"Discipleship Commands";;;;;;;;;;;;
19;"Mat 5:14-16";"positive";;"Jesus";"primary";"Discipleship Commands";"Laat uw licht zo schijnen voor de mensen, dat zij uw goede werken zien en uw Vader, Die in de hemelen is, verheerlijken";;;;"Let your light so shine before men, that they may see your good works, and glorify your Father which is in heaven";;;;;;"A single sunbeam is enough to drive away many shadows";"Francis of Assisi"
19;"Mar 4:21";"both";;"Jesus";"example";"Discipleship Commands";;;;;;;;;;;;
19;"Luk. 8:16  ";"both";;"Jesus";"duplicate";"Discipleship Commands";;;;;;;;;;;;
19;"Luk. 11:33-36";"both";;"Jesus";"example";"Discipleship Commands";;;;;;;;;;;;
19;"Ex 25:37";"positive";;"HEERE";"study";"Discipleship Commands";;;;;;;;;;;;
19;"Jes 58:9-10";"positive";;"Isaiah";"example";"Discipleship Commands";;;;;;;;;;;;
19;"Jes 49:6";"positive";;"Isaiah";"direct";"Discipleship Commands";;;;;;;;;;;;
19;"Opb 1:20";"positive";;"Jesus";"study";"Discipleship Commands";;;;;;;;;;;;
19;"Opb 2:5";"both";;"Jesus";"study";"Discipleship Commands";;;;;;;;;;;;
19;"Mat 10:27";"positive";;"Jesus";"direct";"Discipleship Commands";;;;;;;;;;;;
19;"Luk 12:3";"positive";;"Jesus";"duplicate";"Discipleship Commands";;;;;;;;;;;;
19;"Fil 2:14-15";"positive";;"Paul and Timotheus";"direct";"Discipleship Commands";;;;;;;;;;;;
19;"Joh 12:35";"both";;"Jesus";"example";"Discipleship Commands";;;;;;;;;;;;
19;"Ef 5:8";"positive";;"Paul";"direct";"Discipleship Commands";;;;;;;;;;;;
19;"2 Sam 22:29";"positive";;"David";"direct";"Discipleship Commands";;;;;;;;;;;;
19;"Han 13:47";"positive";;"Paul";"direct";"Discipleship Commands";;;;;;;;;;;;
20;"Mat 5:19";"positive";;"Jesus";"primary";"Discipleship Commands";"Wie de geboden doet en onderwijst, zal groot genoemd worden in het Koninkrijk der hemelen";"Leer de Thora en onderwijst hem ";"To learn Torah and to teach it";"CCA14";"Whoever practices and teaches these commands will be called great in the kingdom of heaven";"Do not set aside one of the least of these commands";"<p>I am pleading against a widespread kind of preaching that is Bible-based but not Bible-saturated. I give two reasons why preachers must show the people where they are getting their points in Scripture: (1) only the word of God has authority, and (2) only the word of God awakens life. After more than forty years of preparing and delivering sermons:</p>

<p><b><i>“As for me, I have nothing of abiding worth to say to you. But God does.”</i></b></p>";"<p>Ik pleit voor een wijdverspreide vorm van prediking die op de Bijbel is gebaseerd maar niet bijbelverzadigd is. Ik geef twee redenen waarom predikers de mensen moeten laten zien waar ze hun punten in de Bijbel krijgen: (1) alleen het woord van God heeft autoriteit en (2) alleen het woord van God wekt het leven. Na meer dan veertig jaar van het voorbereiden en geven van preken:</p>

<p><b><i>“Wat mij betreft heb ik niets van blijvende waarde tegen u te zeggen. maar God wel.”</i></b></p>";"John Piper";;"Command what you will, and give what you command";"Augustines"
20;"1 Kor 9:20-21";"positive";;"Paul";"direct";"Discipleship Commands";;"Iedereen moet een Thorarol voor zichzelf schrijven ";"That every person shall write a scroll of the Torah for himself";"CCA15";;;;;;;;
20;"Jes 33:22";"positive";;"Isaiah";"example";"Discipleship Commands";;;;;;;;;;;;
20;"Heb 10:16";"positive";;"Paul?";"direct";"Discipleship Commands";;;;;;;;;;;;
20;"Mat 28:19";"positive";;"Jesus";"direct";"Discipleship Commands";;;;;;;;;;;;
20;"Mat 19:17";"positive";;"Jesus";"direct";"Discipleship Commands";;;;;;;;;;;;
20;"Luk 1:6";"positive";;"Zacharias and Elisabeth";"example";"Discipleship Commands";;;;;;;;;;;;
20;"Luk 4:15";"positive";;"Jesus";"duplicate";"Discipleship Commands";;;;;;;;;;;;
20;"Luk 4:31-32";"positive";;"Jesus";"example";"Discipleship Commands";;;;;;;;;;;;
20;"Deut 6:7";"positive";"CCA14";"Moses";"direct";"Discipleship Commands";;;;;;;;;;;;
20;"Deut 8:6-18";"both";;"Moses";"study";"Discipleship Commands";;;;;;;;;;;;
20;"Luk 16:17";"positive";;"Jesus";"indirect";"Discipleship Commands";;;;;;;;;;;;
20;"Joh 14:15";"positive";;"Jesus";"direct";"Discipleship Commands";;;;;;;;;;;;
20;"Joh 14:21";"positive";;"Jesus";"direct";"Discipleship Commands";;;;;;;;;;;;
20;"Joh 14:23";"positive";;"Jesus";"direct";"Discipleship Commands";;;;;;;;;;;;
20;"Joh 21:15-17";"positive";;"Jesus";"study";"Discipleship Commands";;;;;;;;;;;;
20;"1 Sam 7:15-17";"positive";;"Samuel";"example";"Discipleship Commands";;;;;;;;;;;;
20;"Ef 5:1";"positive";;"Paul";"indirect";"Discipleship Commands";;;;;;;;;;;;
20;"1 Kon 2:1-4";"positive";;"David";"direct";"Discipleship Commands";;;;;;;;;;;;
20;"1 Kon 6:12";"positive";;"HEERE";"direct";"Discipleship Commands";;;;;;;;;;;;
20;"1 Kon 8:56-61";"positive";;"Solomon";"study";"Discipleship Commands";;;;;;;;;;;;
