"step";"bible_ref";"bible_ref_positive_negative";"bible_ref_origin";"bible_ref_author";"bible_ref_type";"category";"title_nl";"title_ot_nl";"title_ot_en";"title_ot_code";"title_en";"title_negative_en";"devotional_en";"devotional_nl";"devotional_source";"questions";"quote";"quote_source"
1;"Ps 100:1-3";"positive";;"Unknown";"duplicate";"Salvation Commands";;;;;;;;;;;;
2;"Mat 28:19";"positive";;"Jesus";"primary";"Salvation Commands";"Laat je dopen";;;;"Get baptized";;;;;"Did you already get baptized?";;
2;"Han 2:38";"positive";;"Peter";"direct";"Salvation Commands";;;;;;;;;;"Tell each other your testimony why you got baptized";;
2;"Han 10:48";"positive";;"Peter";"direct";"Salvation Commands";;;;;;;;;;;;
2;"Mar 1:5";"positive";;"John the baptist";"example";"Salvation Commands";;;;;;;;;;;;
2;"Mar 1:8";"positive";;"John the baptist";"indirect";"Salvation Commands";;;;;;;;;;;;
2;"Mar 16:16";"positive";;"Jesus";"direct";"Salvation Commands";;;;;;;;;;;;
2;"Joh 4:1-2";"positive";;"Jesus";"indirect";"Salvation Commands";;;;;;;;;;;;
2;"Han 8:36-38";"positive";;"Philip";"direct";"Salvation Commands";;;;;;;;;;;;
2;"Han 9:18";"positive";;"Paul";"example";"Salvation Commands";;;;;;;;;;;;
2;"Han 8:12-17";"positive";;"Other";"example";"Salvation Commands";;;;;;;;;;;;
2;"Han 10:47-48";"both";;"Peter";"indirect";"Salvation Commands";;;;;;;;;;;;
2;"Han 22:16";"positive";;"Paul";"direct";"Salvation Commands";;;;;;;;;;;;
3;"Mat 9:9";"positive";;"Jesus";"primary";"Discipleship Commands";"Volg Mij";"Wandel in Zijn goede en rechtvaardige wegen (volg Zijn instructies op ";"To imitate His good and upright ways";"CCA6";"Follow Me";;;;;;"Your father brought you in this world, but Rabbi Jesus will bring you in the future world";
3;"Mat 19:21";"positive";;"Jesus";"indirect";"Discipleship Commands";;;;;;;;;;;;
3;"Luk 9:57-62";"positive";;"Jesus";"example";"Discipleship Commands";;;;;;;;;;;;
3;"Luk 18:22";"positive";;"Jesus";"duplicate";"Discipleship Commands";;;;;;;;;;;;
3;"Luk 18:28-30";"positive";;"Peter";"example";"Discipleship Commands";;;;;;;;;;;;
3;"1 Joh 5:3";"positive";;"John";"direct";"Discipleship Commands";;;;;;;;;;;;
3;"Mar 1:17";"positive";;"Jesus";"direct";"Discipleship Commands";;;;;;;;;;;;
3;"Joh 8:12";"positive";;"Jesus";"indirect";"Discipleship Commands";;;;;;;;;;;;
3;"Joh 10:1-16";"positive";;"Jesus";"study";"Discipleship Commands";;;;;;;;;;;;
3;"Joh 10:27";"positive";;"Jesus";"indirect";"Discipleship Commands";;;;;;;;;;;;
3;"Joh 12:26";"positive";;"Jesus";"indirect";"Discipleship Commands";;;;;;;;;;;;
3;"Joh 13:15";"positive";;"Jesus";"indirect";"Discipleship Commands";;;;;;;;;;;;
3;"Joh 21:18-19";"positive";;"Jesus";"indirect";"Discipleship Commands";;;;;;;;;;;;
3;"Joh 21:22";"positive";;"Jesus";"duplicate";"Discipleship Commands";;;;;;;;;;;;
3;"Deut 28:9";"positive";;"CCA6";"indirect";"Discipleship Commands";;;;;;;;;;;;
3;"Ps 5:9";"positive";;"David";"indirect";"Discipleship Commands";;;;;;;;;;;;
3;"Ps 17:5";"positive";;"David";"example";"Discipleship Commands";;;;;;;;;;;;
3;"2 Kro 6:16";"positive";;"Solomon";"duplicate";"Discipleship Commands";;;;;;;;;;;;
3;"2 Kro 7:17-18";"positive";;"HEERE";"direct";"Discipleship Commands";;;;;;;;;;;;
3;"1 Kon 19:19-21";"positive";;"Elisha";"example";"Discipleship Commands";;;;;;;;;;;;
3;"Joh 15:14-15";"positive";;"Jesus";"indirect";"Discipleship Commands";;;;;;;;;;;;
